Season,Round,home_EOL,away_EOL,home_result
2018,2,72,63,0
2018,2,82,64,1
2018,2,61,89,-1
2018,2,73,77,1
2018,2,66,90,-1
2018,3,75,63,1
2018,3,61,73,-1
2018,3,77,88,-1
2018,3,90,71,1
2018,3,69,66,0
2018,3,89,69,1
2018,3,63,82,-1
2018,3,75,64,1
2018,3,65,72,1
2018,4,71,69,0
2018,4,72,77,0
2018,4,69,61,-1
2018,4,66,65,-1
2018,4,75,90,0
2018,4,63,63,1
2018,4,87,73,1
2018,4,82,89,-1
2018,4,63,75,-1
2018,5,65,88,-1
2018,5,90,64,1
2018,5,61,73,0
2018,5,75,75,1
2018,5,89,66,1
2018,5,69,82,1
2018,5,77,63,1
2018,5,73,69,-1
2018,5,63,70,1
2018,6,73,69,1
2018,6,75,63,1
2018,6,63,90,1
2018,6,87,61,1
2018,6,71,73,1
2018,6,75,89,-1
2018,6,83,77,1
2018,6,63,65,1
2018,6,66,69,1
2018,7,89,63,1
2018,7,73,66,-1
2018,7,69,88,0
2018,7,90,72,1
2018,7,77,75,1
2018,7,65,70,-1
2018,7,61,83,-1
2018,7,63,75,0
2018,7,69,63,0
2018,8,66,62,0
2018,8,72,69,1
2018,8,63,63,0
2018,8,63,66,1
2018,8,76,69,1
2018,8,83,73,1
2018,8,88,89,0
2018,8,70,77,1
2018,8,75,90,0
2018,9,72,63,-1
2018,9,65,75,1
2018,9,69,75,1
2018,9,88,72,1
2018,9,61,70,1
2018,9,63,90,-1
2018,9,88,65,1
2018,9,69,83,-1
2018,9,76,59,0
2018,10,89,65,1
2018,10,75,88,-1
2018,10,75,61,1
2018,10,70,69,1
2018,10,63,89,-1
2018,10,83,66,1
2018,10,72,72,1
2018,10,63,76,-1
2018,10,59,69,1
2018,11,69,63,-1
2018,11,69,59,0
2018,11,61,63,1
2018,11,72,75,-1
2018,11,89,71,1
2018,11,66,72,1
2018,11,64,75,-1
2018,11,76,89,-1
2018,11,88,83,0
2018,12,70,66,-1
2018,12,59,62,1
2018,12,64,69,1
2018,12,63,89,0
2018,12,75,71,0
2018,12,72,88,-1
2018,12,89,70,1
2018,12,83,65,1
2018,12,75,76,-1
2018,13,88,70,1
2018,13,89,89,0
2018,13,68,75,0
2018,13,61,75,-1
2018,13,66,63,0
2018,13,65,63,-1
2018,13,83,72,1
2018,13,69,77,-1
2018,13,70,59,0
2018,14,75,68,1
2018,14,63,62,-1
2018,14,89,70,1
2018,14,63,88,-1
2018,14,59,66,-1
2018,14,70,71,0
2018,14,69,89,-1
2018,14,76,64,1
2018,14,75,83,1
2018,15,71,63,-1
2018,15,70,63,1
2018,15,83,70,1
2018,15,66,75,0
2018,15,64,69,1
2018,15,88,59,1
2018,15,61,89,-1
2018,15,68,76,1
2018,15,89,75,1
2018,16,76,61,-1
2018,16,63,69,-1
2018,16,63,83,-1
2018,16,75,66,-1
2018,16,64,89,-1
2018,16,75,71,1
