,Home_Team,Away_Team,Result,Link,Season,Round,League,reduced_link,Date_New,Referee,Home_Yellow,Home_Red,Away_Yellow,Away_Red,Categorical Result
106,Swansea City,Blackburn Rovers,2-0,https://www.besoccer.com/match/swansea-city-afc/blackburn-rovers-fc/202175703,2021,9,championship,/match/swansea-city-afc/blackburn-rovers-fc/2021,"Saturday, 31 October 2020, 16:00", Whitestone D.,3,0,0,0,Home Win
107,Wycombe Wanderers,Sheffield Wednesday,1-0,https://www.besoccer.com/match/wycombe-wanderers/sheffield-wednesday-fc/202175704,2021,9,championship,/match/wycombe-wanderers/sheffield-wednesday-fc/2021,"Saturday, 31 October 2020, 16:00", Stroud K.,2,0,2,0,Home Win
108,Brentford,Swansea City,1-1,https://www.besoccer.com/match/brentford/swansea-city-afc/202175706,2021,10,championship,/match/brentford/swansea-city-afc/2021,"Tuesday, 03 November 2020, 20:00", Martin S.,3,0,0,0,Draw
109,Huddersfield Town,Bristol City,1-2,https://www.besoccer.com/match/huddersfield-town-fc/bristol-city-fc/202175708,2021,10,championship,/match/huddersfield-town-fc/bristol-city-fc/2021,"Tuesday, 03 November 2020, 20:00", Bankes P.,3,0,0,0,Away Win
110,Norwich City,Millwall,0-0,https://www.besoccer.com/match/norwich-city-fc/millwall-fc/202175709,2021,10,championship,/match/norwich-city-fc/millwall-fc/2021,"Tuesday, 03 November 2020, 20:00", Robinson T.,0,0,1,0,Draw
111,Sheffield Wednesday,AFC Bournemouth,1-0,https://www.besoccer.com/match/sheffield-wednesday-fc/afc-bournemouth/202175710,2021,10,championship,/match/sheffield-wednesday-fc/afc-bournemouth/2021,"Tuesday, 03 November 2020, 20:00", Simpson J.,4,1,2,1,Home Win
112,Blackburn Rovers,Middlesbrough,0-0,https://www.besoccer.com/match/blackburn-rovers-fc/middlesbrough-fc/202175705,2021,10,championship,/match/blackburn-rovers-fc/middlesbrough-fc/2021,"Tuesday, 03 November 2020, 20:45", Webb D.,5,0,1,0,Draw
113,Cardiff City,Barnsley,3-0,https://www.besoccer.com/match/cardiff-city-fc/barnsley-fc/202175707,2021,10,championship,/match/cardiff-city-fc/barnsley-fc/2021,"Tuesday, 03 November 2020, 20:45", Whitestone D.,0,0,1,0,Home Win
114,Watford,Stoke City,3-2,https://www.besoccer.com/match/watford-fc/stoke-city/202175715,2021,10,championship,/match/watford-fc/stoke-city/2021,"Wednesday, 04 November 2020, 20:00", Davies A.,2,0,2,0,Home Win
115,Reading,Preston North End,0-3,https://www.besoccer.com/match/reading-fc/preston-north-end/202175716,2021,10,championship,/match/reading-fc/preston-north-end/2021,"Wednesday, 04 November 2020, 20:00", Brooks J.,1,0,2,0,Away Win
116,Birmingham City,Wycombe Wanderers,1-2,https://www.besoccer.com/match/birmingham-city-fc/wycombe-wanderers/202175711,2021,10,championship,/match/birmingham-city-fc/wycombe-wanderers/2021,"Wednesday, 04 November 2020, 20:45", Smith J.,1,0,0,0,Away Win
117,Derby County,Queens Park Rangers,0-1,https://www.besoccer.com/match/derby-county-fc/queens-park-rangers-fc/202175712,2021,10,championship,/match/derby-county-fc/queens-park-rangers-fc/2021,"Wednesday, 04 November 2020, 20:45", Ward G.,1,0,0,0,Away Win
